Table 2-1,,,,,,,,,,,,,,,,,,
Paper Mill (I),Housing (H),Power Plant (O),,Home Market (M),Gravel Pit (I),Flying B Ranch (T),,Wheezy Market (M),Lite Work (D),Myrle’s Market (M),Brax Trail Tours (E),Summit Hotel (T),Silver mine (I),Mountain Market (M),,Power Plant (O),Housing (H),Timber yard (I)
Housing (H),Anchor Tenet (AT),High (T) Mountain,,Housing (H),Anchor Tenet (AT),Benny’s BBQ (F),,Bigger Barns (S),Anchor Tenet (AT),Ski & See (E),,Grocery (F),Anchor Tenet (AT),Housing (H),,Highland Lodge (T),Anchor Tenet (AT),Housing (H)
Quarry Dock (D),Little B  Park (P),Hope Hospital (C),,The Practice (M) ,Kiki Park (P),Housing (H),,Summit Market (F),Housing (H),Taylor’s Grocer (F),,Housing (H),Big K Park (P),DIY Depot (M),,Public Works (C),Calico Park (P),I-Track  (D)
[],,,Street,,,,Street,,,,Street,,,,Street,,,
Housing (H),Bam Bam Distributn (D),Med Clinic (M),,Gary’s gas (O),Shamwow Storage (S),Housing (H),,Housing (H),The Practice (M) ,Housing (H),,Housing (H),Shamwow Storage (S),Cal’s Oil (O),,Watts Electric (M),Bam Bam Distributn (D),Housing (H)
Riverfront Hotel (T),Anchor Tenet (AT),Frankel Park (P),,Bam Bam Distributn (D),Anchor Tenet (AT),Bridgeport (M),,Fashion Square(M),Anchor Tenet (AT),Grocery (F),,The Icon (M),Anchor Tenet (AT),Bam Bam Distributn (D),,Rybo Park (P),Anchor Tenet (AT),Hotel (T)
Housing (H),Landmark Exchange (M),Gilly’s Grocery (F),,Housing (H),Tea Pot (F) ,Camilla’s Travel (E),,City Hall (C),Prophet’s Park (P),Red Brick Hotel (T),,Art Museum (E),Taylor Made Cakes (F) ,Housing (H),,Grebaes Grainery (F),Frame Works (M),Housing (H)
,,,Street,,,,Street,,,,Street,,,,Street,,,
Fish Market (I),Luxury Boat Tours (E),Reggie’s (F),,Housing (H),Gilly’s Grocer (F),Hope Hotel (T),,,,,,Police (C),Railhouse (M),Housing (H),,Dairy Coop (M),Bigger Barns (S),Steel Smelter (I)
Marina (D),Anchor Tenet (AT),Housing (H),,The Practice (M) ,Anchor Tenet (AT),Cornhole Park (P),,,Church,,,Outlaw’s Park (P),Anchor Tenet (AT),The Practice (M) ,,Housing (H),Anchor Tenet (AT),J Track  (D)
Taylor Boats (II),Bigger Barns (S),Cornelius Market (M),,Housing (H),The Practice (M) ,Courthouse (C),,,,,,The Grand (T),Grocery (F),Housing (H),,Dave’s Dining (F),Will Theater (E),Ike’s Iron Foundry (I)
,,,Street,,B Bank (M),,Street,,,,Street,,,,Street,,,
Housing (H),The Promenade (M),D & D Diner (F) ,,Housing (H),The Store (F),History Museum (E),,Memorial Hotel (T) ,City Creek Park (P),Firehouse 01 (C),,Tourism (E),Dining (F),Housing (H),,Taylor’s Grocer (F),Auto Mall (M),Housing (H)
Leymie Lakhouse  (T),Anchor Tenet (AT),JJ Park (P),,Bam Bam Distributn (D),Anchor Tenet (AT),The Union Quarter (M),,Grocery (F),Anchor Tenet (AT),City Creek (M) ,,B Bank (M) ,Anchor Tenet (AT),Bam Bam Distributn (D),,Birdo Park (P),Anchor Tenet (AT),Hotel (T)
Housing (H),Bam Bam Distributn (D),Prefect Plumbing (M),,Cal’s Oil (O),Shamwow Storage (S),Housing (H),,Housing (H),Natalia’s Nursery (M),Housing (H),,Housing (H),Shamwow Storage (S),Gary’s gas (O),,The Practice (M) ,Bam Bam Distributn (D),Housing (H)
,,,Street,,,,Street,,,,Street,,,,Street,,,
Marv’s Marina (D),Big B Park (P),Water Works (C),,Watering Hole (M),Reese Park (P),Housing (H),,Pops Poultry (F),Housing (H),Grebaes Grainery (F),,Housing (H),Mqil Park (P),Family Med (M),,Children’s Hosp (C),Janie  Park (P),L Track  (D)
Housing (H),Anchor Tenet (AT),Hotel (T),,Housing (H),Anchor Tenet (AT),Taylor’s Grocer (F),,Fairgrounds (E),Anchor Tenet (AT),Bigger Barns (S),,Jelly Roll Diner (F),Anchor Tenet (AT),Housing (H),,Cowboy Hotel (T),Anchor Tenet (AT),Housing (H)
Founders mill (I),Housing (H),Power Plant (O),,Frontier Market (M),Copper Mine (I),Bolt Ranch (T),,Sausquatch Market (M),Lite Work (D),Heart of the Country (M),,Cowboy Hotel (T),Em’s Equine (I),Farmer’s Market (M),,Power Plant (O),Housing (H),Granite Quarry (I)
